,City,State ,Region,CRI,Year,Spending Type,Dollar Amount,Category,Total Spending
0,Mesa,Arizona,Southwest,-0.58,2017,Police,153701040,Carceral,208900323
1,Mesa,Arizona,Southwest,-0.58,2017,Courts,7667301,Carceral,208900323
2,Mesa,Arizona,Southwest,-0.58,2017,Public Defenders,0,Carceral,208900323
3,Mesa,Arizona,Southwest,-0.58,2017,Prosecutors,3210656,Carceral,208900323
4,Mesa,Arizona,Southwest,-0.58,2017,Community Supervision ,0,Carceral,208900323
5,Mesa,Arizona,Southwest,-0.58,2017,Sheriff,0,Carceral,208900323
6,Mesa,Arizona,Southwest,-0.58,2017,Corrections,0,Carceral,208900323
7,Mesa,Arizona,Southwest,-0.58,2017,HHS,0,Health and Support,208900323
8,Mesa,Arizona,Southwest,-0.58,2017,Public Health,0,Health and Support,208900323
9,Mesa,Arizona,Southwest,-0.58,2017,Parks & Rec,32067882,Health and Support,208900323
10,Mesa,Arizona,Southwest,-0.58,2017,Housing,1615396,Health and Support,208900323
11,Mesa,Arizona,Southwest,-0.58,2017,Employment,7802541,Health and Support,208900323
12,Mesa,Arizona,Southwest,-0.58,2017,Civic and Community Engagement,2835507,Health and Support,208900323
13,Mesa,Arizona,Southwest,-0.58,2017,Arts and Culture,0,Health and Support,208900323
14,Mesa,Arizona,Southwest,-0.71,2018,Police,162146519,Carceral,201907072
15,Mesa,Arizona,Southwest,-0.71,2018,Courts,7755997,Carceral,201907072
16,Mesa,Arizona,Southwest,-0.71,2018,Public Defenders,0,Carceral,201907072
17,Mesa,Arizona,Southwest,-0.71,2018,Prosecutors,3216220,Carceral,201907072
18,Mesa,Arizona,Southwest,-0.71,2018,Community Supervision ,0,Carceral,201907072
19,Mesa,Arizona,Southwest,-0.71,2018,Sheriff,0,Carceral,201907072
20,Mesa,Arizona,Southwest,-0.71,2018,Corrections,0,Carceral,201907072
21,Mesa,Arizona,Southwest,-0.71,2018,HHS,0,Health and Support,201907072
22,Mesa,Arizona,Southwest,-0.71,2018,Public Health,0,Health and Support,201907072
23,Mesa,Arizona,Southwest,-0.71,2018,Parks & Rec,17227006,Health and Support,201907072
24,Mesa,Arizona,Southwest,-0.71,2018,Housing,1663925,Health and Support,201907072
25,Mesa,Arizona,Southwest,-0.71,2018,Employment,7666371,Health and Support,201907072
26,Mesa,Arizona,Southwest,-0.71,2018,Civic and Community Engagement,2231034,Health and Support,201907072
27,Mesa,Arizona,Southwest,-0.71,2018,Arts and Culture,0,Health and Support,201907072
28,Mesa,Arizona,Southwest,-0.57,2019,Police,161292327,Carceral,219905358
29,Mesa,Arizona,Southwest,-0.57,2019,Courts,7931490,Carceral,219905358
30,Mesa,Arizona,Southwest,-0.57,2019,Public Defenders,0,Carceral,219905358
31,Mesa,Arizona,Southwest,-0.57,2019,Prosecutors,3524723,Carceral,219905358
32,Mesa,Arizona,Southwest,-0.57,2019,Community Supervision ,0,Carceral,219905358
33,Mesa,Arizona,Southwest,-0.57,2019,Sheriff,0,Carceral,219905358
34,Mesa,Arizona,Southwest,-0.57,2019,Corrections,0,Carceral,219905358
35,Mesa,Arizona,Southwest,-0.57,2019,HHS,0,Health and Support,219905358
36,Mesa,Arizona,Southwest,-0.57,2019,Public Health,0,Health and Support,219905358
37,Mesa,Arizona,Southwest,-0.57,2019,Parks & Rec,34869822,Health and Support,219905358
